State,Year,Gender,Race,Age,Education,Current_Consumption,Previous_Year_Consumption,Percent_Consumption_Change
Arkansas,2014,Overall,White,All Ages,All Grades,24.5,26.9,-8.921933085501854
California,2014,Female,All Races,18 to 44 Years,All Grades,8.3,8.0,3.750000000000009
California,2014,Female,All Races,All Ages,All Grades,9.5,9.1,4.3956043956043995
California,2014,Male,All Races,All Ages,All Grades,16.3,16.1,1.242236024844716
California,2014,Overall,African American,All Ages,All Grades,23.2,15.2,52.631578947368425
California,2014,Overall,All Races,18 to 24 Years,All Grades,11.5,13.3,-13.533834586466169
California,2014,Overall,All Races,25 to 44 Years,All Grades,13.9,13.2,5.303030303030312
California,2014,Overall,All Races,45 to 64 Years,All Grades,14.8,14.2,4.225352112676067
California,2014,Overall,All Races,65 Years and Older,All Grades,8.0,7.2,11.111111111111109
California,2014,Overall,All Races,Age 20 and Older,12th Grade,17.9,15.6,14.743589743589737
California,2014,Overall,All Races,Age 20 and Older,< 12th Grade,17.0,15.0,13.333333333333334
California,2014,Overall,All Races,Age 20 and Older,> 12th Grade,10.2,10.7,-4.672897196261682
California,2014,Overall,All Races,Age 25 and Older,12th Grade,18.0,15.7,14.649681528662425
California,2014,Overall,All Races,Age 25 and Older,< 12th Grade,17.0,14.7,15.646258503401365
California,2014,Overall,All Races,Age 25 and Older,> 12th Grade,10.3,10.5,-1.904761904761898
California,2014,Overall,All Races,All Ages,All Grades,12.8,12.5,2.4000000000000057
California,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,22.5,24.0,-6.25
California,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,9.4,9.5,-1.0526315789473646
California,2014,Overall,Hispanic,All Ages,All Grades,11.4,10.3,10.679611650485434
California,2014,Overall,White,All Ages,All Grades,13.7,14.5,-5.51724137931035
Colorado,2014,Female,All Races,18 to 44 Years,All Grades,17.0,19.7,-13.705583756345176
Colorado,2014,Female,All Races,All Ages,All Grades,14.6,16.4,-10.975609756097555
Colorado,2014,Male,All Races,All Ages,All Grades,16.9,19.0,-11.052631578947375
Colorado,2014,Overall,African American,All Ages,All Grades,22.8,26.8,-14.925373134328359
Colorado,2014,Overall,All Races,18 to 24 Years,All Grades,16.1,22.1,-27.149321266968325
Colorado,2014,Overall,All Races,25 to 44 Years,All Grades,19.6,20.3,-3.4482758620689618
Colorado,2014,Overall,All Races,45 to 64 Years,All Grades,15.0,17.2,-12.790697674418603
Colorado,2014,Overall,All Races,65 Years and Older,All Grades,8.3,9.1,-8.79120879120878
Colorado,2014,Overall,All Races,Age 20 and Older,12th Grade,23.0,25.2,-8.730158730158728
Colorado,2014,Overall,All Races,Age 20 and Older,< 12th Grade,30.6,31.5,-2.8571428571428528
Colorado,2014,Overall,All Races,Age 20 and Older,> 12th Grade,11.7,13.3,-12.030075187969935
Colorado,2014,Overall,All Races,Age 25 and Older,12th Grade,22.6,23.6,-4.23728813559322
Colorado,2014,Overall,All Races,Age 25 and Older,< 12th Grade,28.4,29.8,-4.697986577181216
Colorado,2014,Overall,All Races,Age 25 and Older,> 12th Grade,11.8,13.0,-9.230769230769225
Colorado,2014,Overall,All Races,All Ages,All Grades,15.7,17.7,-11.299435028248588
Colorado,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,22.7,38.9,-41.645244215938305
Colorado,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,6.9,9.5,-27.36842105263157
Colorado,2014,Overall,Hispanic,All Ages,All Grades,17.4,18.7,-6.951871657754014
Colorado,2014,Overall,White,All Ages,All Grades,14.8,16.7,-11.377245508982028
Connecticut,2014,Female,All Races,18 to 44 Years,All Grades,15.5,15.7,-1.2738853503184668
Connecticut,2014,Female,All Races,All Ages,All Grades,13.5,14.3,-5.5944055944055995
Connecticut,2014,Male,All Races,All Ages,All Grades,17.5,16.8,4.1666666666666625
Connecticut,2014,Overall,African American,All Ages,All Grades,18.5,19.9,-7.035175879396978
Connecticut,2014,Overall,All Races,18 to 24 Years,All Grades,13.0,12.2,6.557377049180334
Connecticut,2014,Overall,All Races,25 to 44 Years,All Grades,21.1,20.6,2.4271844660194173
Connecticut,2014,Overall,All Races,45 to 64 Years,All Grades,16.3,16.8,-2.9761904761904763
Connecticut,2014,Overall,All Races,65 Years and Older,All Grades,7.0,7.4,-5.40540540540541
Connecticut,2014,Overall,All Races,Age 20 and Older,12th Grade,22.8,22.1,3.1674208144796347
Connecticut,2014,Overall,All Races,Age 20 and Older,< 12th Grade,27.3,26.2,4.1984732824427535
Connecticut,2014,Overall,All Races,Age 20 and Older,> 12th Grade,11.0,11.2,-1.7857142857142796
Connecticut,2014,Overall,All Races,Age 25 and Older,12th Grade,22.3,22.9,-2.6200873362445325
Connecticut,2014,Overall,All Races,Age 25 and Older,< 12th Grade,26.5,24.5,8.16326530612245
Connecticut,2014,Overall,All Races,Age 25 and Older,> 12th Grade,11.1,11.3,-1.7699115044247882
Connecticut,2014,Overall,All Races,All Ages,All Grades,15.4,15.5,-0.6451612903225784
Connecticut,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Connecticut,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,13.7,4.8,185.41666666666666
Connecticut,2014,Overall,Hispanic,All Ages,All Grades,20.6,20.5,0.4878048780487874
Connecticut,2014,Overall,White,All Ages,All Grades,14.1,14.3,-1.398601398601406
Delaware,2014,Female,All Races,18 to 44 Years,All Grades,18.5,19.6,-5.61224489795919
Delaware,2014,Female,All Races,All Ages,All Grades,16.6,17.3,-4.04624277456647
Delaware,2014,Male,All Races,All Ages,All Grades,23.5,22.0,6.818181818181818
Delaware,2014,Overall,African American,All Ages,All Grades,17.1,23.0,-25.652173913043473
Delaware,2014,Overall,All Races,18 to 24 Years,All Grades,24.8,20.1,23.383084577114424
Delaware,2014,Overall,All Races,25 to 44 Years,All Grades,23.9,24.4,-2.0491803278688527
Delaware,2014,Overall,All Races,45 to 64 Years,All Grades,20.1,21.4,-6.074766355140174
Delaware,2014,Overall,All Races,65 Years and Older,All Grades,10.5,8.4,24.999999999999996
Delaware,2014,Overall,All Races,Age 20 and Older,12th Grade,25.3,26.4,-4.166666666666659
Delaware,2014,Overall,All Races,Age 20 and Older,< 12th Grade,38.9,31.6,23.101265822784804
Delaware,2014,Overall,All Races,Age 20 and Older,> 12th Grade,12.3,13.3,-7.518796992481203
Delaware,2014,Overall,All Races,Age 25 and Older,12th Grade,24.1,25.8,-6.589147286821703
Delaware,2014,Overall,All Races,Age 25 and Older,< 12th Grade,36.5,30.8,18.506493506493502
Delaware,2014,Overall,All Races,Age 25 and Older,> 12th Grade,12.2,13.7,-10.948905109489052
Delaware,2014,Overall,All Races,All Ages,All Grades,19.9,19.6,1.5306122448979447
Delaware,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Delaware,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,3.2,5.6,-42.85714285714285
Delaware,2014,Overall,Hispanic,All Ages,All Grades,10.1,22.3,-54.708520179372194
Delaware,2014,Overall,White,All Ages,All Grades,22.0,19.0,15.789473684210526
District of Columbia,2014,Female,All Races,18 to 44 Years,All Grades,14.6,13.4,8.955223880597009
District of Columbia,2014,Female,All Races,All Ages,All Grades,14.6,14.7,-0.6802721088435351
District of Columbia,2014,Male,All Races,All Ages,All Grades,18.4,23.4,-21.36752136752137
District of Columbia,2014,Overall,African American,All Ages,All Grades,26.0,28.4,-8.450704225352109
District of Columbia,2014,Overall,All Races,18 to 24 Years,All Grades,12.7,17.6,-27.8409090909091
District of Columbia,2014,Overall,All Races,25 to 44 Years,All Grades,15.2,18.7,-18.716577540106954
District of Columbia,2014,Overall,All Races,45 to 64 Years,All Grades,23.8,25.2,-5.55555555555555
District of Columbia,2014,Overall,All Races,65 Years and Older,All Grades,9.0,8.0,12.5
District of Columbia,2014,Overall,All Races,Age 20 and Older,12th Grade,25.8,28.2,-8.510638297872335
District of Columbia,2014,Overall,All Races,Age 20 and Older,< 12th Grade,39.6,39.6,0.0
District of Columbia,2014,Overall,All Races,Age 20 and Older,> 12th Grade,10.9,13.1,-16.79389312977099
District of Columbia,2014,Overall,All Races,Age 25 and Older,12th Grade,26.7,30.6,-12.745098039215693
District of Columbia,2014,Overall,All Races,Age 25 and Older,< 12th Grade,36.4,40.3,-9.677419354838708
District of Columbia,2014,Overall,All Races,Age 25 and Older,> 12th Grade,11.5,12.1,-4.95867768595041
District of Columbia,2014,Overall,All Races,All Ages,All Grades,16.4,18.8,-12.765957446808523
District of Columbia,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
District of Columbia,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,3.0,4.8,-37.49999999999999
District of Columbia,2014,Overall,Hispanic,All Ages,All Grades,10.8,14.2,-23.94366197183098
District of Columbia,2014,Overall,White,All Ages,All Grades,7.3,9.9,-26.262626262626267
Florida,2014,Female,All Races,18 to 44 Years,All Grades,18.2,15.0,21.33333333333333
Florida,2014,Female,All Races,All Ages,All Grades,15.5,14.4,7.638888888888887
Florida,2014,Male,All Races,All Ages,All Grades,20.0,19.5,2.5641025641025643
Florida,2014,Overall,African American,All Ages,All Grades,15.1,14.4,4.861111111111106
Florida,2014,Overall,All Races,18 to 24 Years,All Grades,16.9,16.2,4.320987654320984
Florida,2014,Overall,All Races,25 to 44 Years,All Grades,22.8,20.2,12.871287128712877
Florida,2014,Overall,All Races,45 to 64 Years,All Grades,20.6,19.7,4.5685279187817365
Florida,2014,Overall,All Races,65 Years and Older,All Grades,7.4,8.7,-14.942528735632171
Florida,2014,Overall,All Races,Age 20 and Older,12th Grade,23.1,20.7,11.594202898550735
Florida,2014,Overall,All Races,Age 20 and Older,< 12th Grade,32.1,25.7,24.90272373540857
Florida,2014,Overall,All Races,Age 20 and Older,> 12th Grade,11.8,13.2,-10.606060606060597
Florida,2014,Overall,All Races,Age 25 and Older,12th Grade,22.5,20.5,9.75609756097561
Florida,2014,Overall,All Races,Age 25 and Older,< 12th Grade,31.0,25.1,23.505976095617523
Florida,2014,Overall,All Races,Age 25 and Older,> 12th Grade,12.0,13.0,-7.6923076923076925
Florida,2014,Overall,All Races,All Ages,All Grades,17.6,16.8,4.761904761904766
Florida,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,32.6,
Florida,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,9.1,7.9,15.18987341772151
Florida,2014,Overall,Hispanic,All Ages,All Grades,15.3,13.9,10.071942446043167
Florida,2014,Overall,White,All Ages,All Grades,18.9,18.6,1.6129032258064362
Georgia,2014,Female,All Races,18 to 44 Years,All Grades,14.5,16.6,-12.650602409638562
Georgia,2014,Female,All Races,All Ages,All Grades,13.6,15.4,-11.68831168831169
Georgia,2014,Male,All Races,All Ages,All Grades,21.4,22.6,-5.309734513274348
Georgia,2014,Overall,African American,All Ages,All Grades,14.6,17.3,-15.606936416184977
Georgia,2014,Overall,All Races,18 to 24 Years,All Grades,16.4,16.6,-1.2048192771084507
Georgia,2014,Overall,All Races,25 to 44 Years,All Grades,20.8,23.3,-10.729613733905579
Georgia,2014,Overall,All Races,45 to 64 Years,All Grades,18.7,19.7,-5.0761421319796955
Georgia,2014,Overall,All Races,65 Years and Older,All Grades,8.1,8.7,-6.896551724137928
Georgia,2014,Overall,All Races,Age 20 and Older,12th Grade,22.1,22.8,-3.070175438596488
Georgia,2014,Overall,All Races,Age 20 and Older,< 12th Grade,32.5,30.1,7.9734219269102935
Georgia,2014,Overall,All Races,Age 20 and Older,> 12th Grade,11.8,14.2,-16.901408450704217
Georgia,2014,Overall,All Races,Age 25 and Older,12th Grade,22.4,22.7,-1.3215859030837036
Georgia,2014,Overall,All Races,Age 25 and Older,< 12th Grade,30.3,30.0,1.0000000000000024
Georgia,2014,Overall,All Races,Age 25 and Older,> 12th Grade,11.6,14.1,-17.73049645390071
Georgia,2014,Overall,All Races,All Ages,All Grades,17.4,18.8,-7.446808510638309
Georgia,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,33.5,
Georgia,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,5.1,12.1,-57.85123966942149
Georgia,2014,Overall,Hispanic,All Ages,All Grades,15.6,13.3,17.293233082706756
Georgia,2014,Overall,White,All Ages,All Grades,19.3,20.6,-6.310679611650488
Guam,2014,Female,All Races,18 to 44 Years,All Grades,26.3,26.7,-1.4981273408239648
Guam,2014,Female,All Races,All Ages,All Grades,24.2,22.7,6.607929515418502
Guam,2014,Male,All Races,All Ages,All Grades,34.3,30.4,12.82894736842105
Guam,2014,Overall,African American,All Ages,All Grades,,,
Guam,2014,Overall,All Races,18 to 24 Years,All Grades,23.6,27.0,-12.592592592592588
Guam,2014,Overall,All Races,25 to 44 Years,All Grades,36.7,30.4,20.723684210526333
Guam,2014,Overall,All Races,45 to 64 Years,All Grades,28.6,26.1,9.578544061302681
Guam,2014,Overall,All Races,65 Years and Older,All Grades,10.6,14.1,-24.822695035460992
Guam,2014,Overall,All Races,Age 20 and Older,12th Grade,32.3,29.4,9.86394557823129
Guam,2014,Overall,All Races,Age 20 and Older,< 12th Grade,46.7,37.7,23.872679045092838
Guam,2014,Overall,All Races,Age 20 and Older,> 12th Grade,20.0,20.1,-0.49751243781095233
Guam,2014,Overall,All Races,Age 25 and Older,12th Grade,35.5,29.2,21.57534246575343
Guam,2014,Overall,All Races,Age 25 and Older,< 12th Grade,45.4,36.1,25.761772853185587
Guam,2014,Overall,All Races,Age 25 and Older,> 12th Grade,20.3,20.0,1.5000000000000036
Guam,2014,Overall,All Races,All Ages,All Grades,29.2,26.5,10.188679245283017
Guam,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Guam,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,29.3,25.4,15.354330708661427
Guam,2014,Overall,Hispanic,All Ages,All Grades,28.4,39.6,-28.282828282828287
Guam,2014,Overall,White,All Ages,All Grades,21.9,18.1,20.99447513812153
Hawaii,2014,Female,All Races,18 to 44 Years,All Grades,15.7,14.9,5.369127516778516
Hawaii,2014,Female,All Races,All Ages,All Grades,12.1,11.0,9.999999999999998
Hawaii,2014,Male,All Races,All Ages,All Grades,16.2,15.7,3.1847133757961785
Hawaii,2014,Overall,African American,All Ages,All Grades,21.7,,
Hawaii,2014,Overall,All Races,18 to 24 Years,All Grades,12.8,15.2,-15.789473684210519
Hawaii,2014,Overall,All Races,25 to 44 Years,All Grades,18.5,17.7,4.51977401129944
Hawaii,2014,Overall,All Races,45 to 64 Years,All Grades,15.2,12.7,19.68503937007874
Hawaii,2014,Overall,All Races,65 Years and Older,All Grades,6.1,6.0,1.6666666666666607
Hawaii,2014,Overall,All Races,Age 20 and Older,12th Grade,19.3,18.1,6.629834254143642
Hawaii,2014,Overall,All Races,Age 20 and Older,< 12th Grade,26.4,22.9,15.283842794759826
Hawaii,2014,Overall,All Races,Age 20 and Older,> 12th Grade,10.6,10.2,3.9215686274509842
Hawaii,2014,Overall,All Races,Age 25 and Older,12th Grade,19.8,17.4,13.793103448275875
Hawaii,2014,Overall,All Races,Age 25 and Older,< 12th Grade,25.4,21.0,20.952380952380945
Hawaii,2014,Overall,All Races,Age 25 and Older,> 12th Grade,10.5,10.0,5.0
Hawaii,2014,Overall,All Races,All Ages,All Grades,14.1,13.3,6.015037593984953
Hawaii,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Hawaii,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,10.4,10.0,4.0000000000000036
Hawaii,2014,Overall,Hispanic,All Ages,All Grades,23.0,17.7,29.943502824858765
Hawaii,2014,Overall,White,All Ages,All Grades,10.1,11.9,-15.126050420168072
Idaho,2014,Female,All Races,18 to 44 Years,All Grades,19.5,17.2,13.372093023255818
Idaho,2014,Female,All Races,All Ages,All Grades,15.5,15.0,3.3333333333333335
Idaho,2014,Male,All Races,All Ages,All Grades,16.4,19.4,-15.463917525773198
Idaho,2014,Overall,African American,All Ages,All Grades,,,
Idaho,2014,Overall,All Races,18 to 24 Years,All Grades,13.8,18.5,-25.405405405405403
Idaho,2014,Overall,All Races,25 to 44 Years,All Grades,21.2,21.3,-0.46948356807512404
Idaho,2014,Overall,All Races,45 to 64 Years,All Grades,16.0,17.4,-8.045977011494246
Idaho,2014,Overall,All Races,65 Years and Older,All Grades,8.0,8.2,-2.439024390243894
Idaho,2014,Overall,All Races,Age 20 and Older,12th Grade,20.3,24.2,-16.11570247933884
Idaho,2014,Overall,All Races,Age 20 and Older,< 12th Grade,35.8,35.8,0.0
Idaho,2014,Overall,All Races,Age 20 and Older,> 12th Grade,11.4,10.4,9.615384615384615
Idaho,2014,Overall,All Races,Age 25 and Older,12th Grade,20.0,22.9,-12.66375545851528
Idaho,2014,Overall,All Races,Age 25 and Older,< 12th Grade,35.7,36.6,-2.459016393442619
Idaho,2014,Overall,All Races,Age 25 and Older,> 12th Grade,11.2,10.6,5.660377358490563
Idaho,2014,Overall,All Races,All Ages,All Grades,15.9,17.2,-7.558139534883715
Idaho,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,35.0,45.9,-23.747276688453155
Idaho,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,,,
Idaho,2014,Overall,Hispanic,All Ages,All Grades,9.6,16.0,-40.0
Idaho,2014,Overall,White,All Ages,All Grades,16.1,16.3,-1.2269938650306704
Illinois,2014,Female,All Races,18 to 44 Years,All Grades,14.2,15.6,-8.974358974358976
Illinois,2014,Female,All Races,All Ages,All Grades,14.5,15.0,-3.3333333333333335
Illinois,2014,Male,All Races,All Ages,All Grades,18.7,21.2,-11.79245283018868
Illinois,2014,Overall,African American,All Ages,All Grades,24.5,20.8,17.788461538461537
Illinois,2014,Overall,All Races,18 to 24 Years,All Grades,14.1,19.8,-28.787878787878793
Illinois,2014,Overall,All Races,25 to 44 Years,All Grades,18.9,21.3,-11.267605633802827
Illinois,2014,Overall,All Races,45 to 64 Years,All Grades,18.2,19.0,-4.210526315789477
Illinois,2014,Overall,All Races,65 Years and Older,All Grades,10.6,8.6,23.255813953488374
Illinois,2014,Overall,All Races,Age 20 and Older,12th Grade,23.9,24.5,-2.4489795918367405
Illinois,2014,Overall,All Races,Age 20 and Older,< 12th Grade,23.4,21.7,7.834101382488477
Illinois,2014,Overall,All Races,Age 20 and Older,> 12th Grade,12.7,14.8,-14.189189189189198
Illinois,2014,Overall,All Races,Age 25 and Older,12th Grade,23.1,23.7,-2.5316455696202445
Illinois,2014,Overall,All Races,Age 25 and Older,< 12th Grade,22.8,20.2,12.871287128712877
Illinois,2014,Overall,All Races,Age 25 and Older,> 12th Grade,12.9,14.6,-11.643835616438352
Illinois,2014,Overall,All Races,All Ages,All Grades,16.5,18.0,-8.333333333333334
Illinois,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Illinois,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,6.0,14.0,-57.142857142857146
Illinois,2014,Overall,Hispanic,All Ages,All Grades,12.9,11.1,16.21621621621622
Illinois,2014,Overall,White,All Ages,All Grades,16.3,19.1,-14.659685863874348
Indiana,2014,Female,All Races,18 to 44 Years,All Grades,26.0,25.4,2.3622047244094544
Indiana,2014,Female,All Races,All Ages,All Grades,21.5,20.4,5.3921568627451055
Indiana,2014,Male,All Races,All Ages,All Grades,24.5,23.5,4.25531914893617
Indiana,2014,Overall,African American,All Ages,All Grades,27.1,24.8,9.2741935483871
Indiana,2014,Overall,All Races,18 to 24 Years,All Grades,23.7,19.7,20.304568527918782
Indiana,2014,Overall,All Races,25 to 44 Years,All Grades,28.2,29.0,-2.758620689655175
Indiana,2014,Overall,All Races,45 to 64 Years,All Grades,24.9,22.7,9.691629955947134
Indiana,2014,Overall,All Races,65 Years and Older,All Grades,9.7,9.6,1.041666666666663
Indiana,2014,Overall,All Races,Age 20 and Older,12th Grade,27.8,25.1,10.756972111553782
Indiana,2014,Overall,All Races,Age 20 and Older,< 12th Grade,41.4,39.0,6.153846153846151
Indiana,2014,Overall,All Races,Age 20 and Older,> 12th Grade,15.6,16.3,-4.294478527607369
Indiana,2014,Overall,All Races,Age 25 and Older,12th Grade,27.2,24.8,9.677419354838703
Indiana,2014,Overall,All Races,Age 25 and Older,< 12th Grade,40.0,38.1,4.986876640419943
Indiana,2014,Overall,All Races,Age 25 and Older,> 12th Grade,15.5,16.6,-6.626506024096393
Indiana,2014,Overall,All Races,All Ages,All Grades,22.9,21.9,4.566210045662101
Indiana,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,31.7,34.0,-6.764705882352943
Indiana,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,12.8,6.4,100.0
Indiana,2014,Overall,Hispanic,All Ages,All Grades,14.1,15.2,-7.236842105263157
Indiana,2014,Overall,White,All Ages,All Grades,23.1,22.0,5.000000000000006
Iowa,2014,Female,All Races,18 to 44 Years,All Grades,20.9,20.5,1.951219512195115
Iowa,2014,Female,All Races,All Ages,All Grades,17.2,16.6,3.614457831325288
Iowa,2014,Male,All Races,All Ages,All Grades,19.9,22.5,-11.55555555555556
Iowa,2014,Overall,African American,All Ages,All Grades,25.3,21.4,18.224299065420574
Iowa,2014,Overall,All Races,18 to 24 Years,All Grades,17.8,21.9,-18.721461187214604
Iowa,2014,Overall,All Races,25 to 44 Years,All Grades,23.9,23.4,2.1367521367521367
Iowa,2014,Overall,All Races,45 to 64 Years,All Grades,19.6,22.0,-10.909090909090903
Iowa,2014,Overall,All Races,65 Years and Older,All Grades,9.1,8.0,13.749999999999996
Iowa,2014,Overall,All Races,Age 20 and Older,12th Grade,22.6,25.6,-11.71875
Iowa,2014,Overall,All Races,Age 20 and Older,< 12th Grade,30.7,33.2,-7.53012048192772
Iowa,2014,Overall,All Races,Age 20 and Older,> 12th Grade,14.8,14.1,4.964539007092207
Iowa,2014,Overall,All Races,Age 25 and Older,12th Grade,22.6,24.4,-7.377049180327858
Iowa,2014,Overall,All Races,Age 25 and Older,< 12th Grade,31.9,31.1,2.5723472668810197
Iowa,2014,Overall,All Races,Age 25 and Older,> 12th Grade,14.5,14.2,2.1126760563380333
Iowa,2014,Overall,All Races,All Ages,All Grades,18.5,19.5,-5.128205128205129
Iowa,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Iowa,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,17.9,,
Iowa,2014,Overall,Hispanic,All Ages,All Grades,17.6,14.0,25.714285714285722
Iowa,2014,Overall,White,All Ages,All Grades,18.1,19.7,-8.121827411167502
Kansas,2014,Female,All Races,18 to 44 Years,All Grades,19.2,21.1,-9.004739336492902
Kansas,2014,Female,All Races,All Ages,All Grades,16.7,17.8,-6.179775280898884
Kansas,2014,Male,All Races,All Ages,All Grades,19.5,22.3,-12.556053811659195
Kansas,2014,Overall,African American,All Ages,All Grades,25.5,30.7,-16.938110749185665
Kansas,2014,Overall,All Races,18 to 24 Years,All Grades,18.0,19.2,-6.2499999999999964
Kansas,2014,Overall,All Races,25 to 44 Years,All Grades,21.9,25.4,-13.779527559055119
Kansas,2014,Overall,All Races,45 to 64 Years,All Grades,19.1,21.2,-9.90566037735848
Kansas,2014,Overall,All Races,65 Years and Older,All Grades,9.9,9.1,8.791208791208799
Kansas,2014,Overall,All Races,Age 20 and Older,12th Grade,24.9,26.5,-6.0377358490566095
Kansas,2014,Overall,All Races,Age 20 and Older,< 12th Grade,31.8,34.6,-8.092485549132949
Kansas,2014,Overall,All Races,Age 20 and Older,> 12th Grade,13.4,15.2,-11.842105263157888
Kansas,2014,Overall,All Races,Age 25 and Older,12th Grade,24.0,25.9,-7.335907335907331
Kansas,2014,Overall,All Races,Age 25 and Older,< 12th Grade,30.4,33.5,-9.253731343283585
Kansas,2014,Overall,All Races,Age 25 and Older,> 12th Grade,13.6,15.3,-11.111111111111118
Kansas,2014,Overall,All Races,All Ages,All Grades,18.1,20.0,-9.499999999999993
Kansas,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,35.1,41.3,-15.012106537530256
Kansas,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,10.6,14.3,-25.87412587412588
Kansas,2014,Overall,Hispanic,All Ages,All Grades,14.2,17.2,-17.441860465116278
Kansas,2014,Overall,White,All Ages,All Grades,17.5,19.3,-9.326424870466324
Kentucky,2014,Female,All Races,18 to 44 Years,All Grades,28.6,30.8,-7.142857142857141
Kentucky,2014,Female,All Races,All Ages,All Grades,25.2,24.6,2.4390243902438935
Kentucky,2014,Male,All Races,All Ages,All Grades,27.2,28.4,-4.225352112676054
Kentucky,2014,Overall,African American,All Ages,All Grades,29.7,23.8,24.78991596638655
Kentucky,2014,Overall,All Races,18 to 24 Years,All Grades,24.4,28.7,-14.982578397212546
Kentucky,2014,Overall,All Races,25 to 44 Years,All Grades,33.7,33.7,0.0
Kentucky,2014,Overall,All Races,45 to 64 Years,All Grades,27.4,26.9,1.858736059479554
Kentucky,2014,Overall,All Races,65 Years and Older,All Grades,12.4,11.8,5.0847457627118615
Kentucky,2014,Overall,All Races,Age 20 and Older,12th Grade,29.0,30.4,-4.605263157894733
Kentucky,2014,Overall,All Races,Age 20 and Older,< 12th Grade,42.5,41.8,1.6746411483253658
Kentucky,2014,Overall,All Races,Age 20 and Older,> 12th Grade,19.4,19.4,0.0
Kentucky,2014,Overall,All Races,Age 25 and Older,12th Grade,29.1,29.3,-0.6825938566552877
Kentucky,2014,Overall,All Races,Age 25 and Older,< 12th Grade,43.0,40.3,6.699751861042191
Kentucky,2014,Overall,All Races,Age 25 and Older,> 12th Grade,18.7,19.1,-2.094240837696346
Kentucky,2014,Overall,All Races,All Ages,All Grades,26.2,26.5,-1.1320754716981158
Kentucky,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,44.1,39.9,10.526315789473692
Kentucky,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,,,
Kentucky,2014,Overall,Hispanic,All Ages,All Grades,26.5,19.9,33.16582914572865
Kentucky,2014,Overall,White,All Ages,All Grades,25.5,26.9,-5.2044609665427455
Louisiana,2014,Female,All Races,18 to 44 Years,All Grades,23.0,23.0,0.0
Louisiana,2014,Female,All Races,All Ages,All Grades,20.7,20.0,3.4999999999999964
Louisiana,2014,Male,All Races,All Ages,All Grades,27.6,27.3,1.0989010989011014
Louisiana,2014,Overall,African American,All Ages,All Grades,24.6,20.6,19.41747572815534
Louisiana,2014,Overall,All Races,18 to 24 Years,All Grades,17.5,22.5,-22.22222222222222
Louisiana,2014,Overall,All Races,25 to 44 Years,All Grades,31.2,28.7,8.710801393728223
Louisiana,2014,Overall,All Races,45 to 64 Years,All Grades,25.9,25.0,3.5999999999999943
Louisiana,2014,Overall,All Races,65 Years and Older,All Grades,11.6,11.5,0.8695652173913012
Louisiana,2014,Overall,All Races,Age 20 and Older,12th Grade,25.6,25.8,-0.7751937984496097
Louisiana,2014,Overall,All Races,Age 20 and Older,< 12th Grade,43.9,37.9,15.8311345646438
Louisiana,2014,Overall,All Races,Age 20 and Older,> 12th Grade,17.0,17.5,-2.857142857142857
Louisiana,2014,Overall,All Races,Age 25 and Older,12th Grade,26.2,24.5,6.93877551020408
Louisiana,2014,Overall,All Races,Age 25 and Older,< 12th Grade,44.1,37.1,18.867924528301884
Louisiana,2014,Overall,All Races,Age 25 and Older,> 12th Grade,17.4,18.1,-3.8674033149171425
Louisiana,2014,Overall,All Races,All Ages,All Grades,24.0,23.5,2.127659574468085
Louisiana,2014,Overall,American Indian/Alaska Native,All Ages,All Grades,31.6,,
Louisiana,2014,Overall,Asian/Pacific Islander,All Ages,All Grades,,,
Louisiana,2014,Overall,Hispanic,All Ages,All Grades,19.8,21.4,-7.476635514018682
Louisiana,2014,Overall,White,All Ages,All Grades,23.8,24.9,-4.417670682730916
Maine,2014,Female,All Races,18 to 44 Years,All Grades,24.2,26.8,-9.701492537313436
